,Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
234,235,Mission BBQ,136,25.0%,90,21.6%,BBQ
235,236,Walk-On's Sports Bistreaux,133,27.8%,33,37.5%,Sports Bar
236,237,The Coffee Bean & Tea Leaf,133,-2.1%,282,-0.7%,Coffee Cafe
237,238,Yogurtland,132,-2.6%,267,-2.2%,Frozen Desserts
238,239,Daylight Donuts,132,2.2%,415,0.2%,Snack
239,240,WaBa Grill,132,3.7%,191,0.0%,Asian/Noodle
240,241,54th Street Restaurant & Drafthouse,131,4.5%,31,6.9%,Varied Menu
241,242,Biggby Coffee,129,3.8%,240,0.8%,Coffee Cafe
242,243,Costa Vida Fresh Mexican Grill,129,5.2%,93,2.2%,Mexican
243,244,L&L Hawaiian Barbecue,129,5.1%,195,3.7%,BBQ
244,245,Gyu-Kaku,129,18.6%,52,8.3%,Asian
245,246,Rainforest Cafe,129,-10.4%,18,-5.3%,Varied Menu
246,247,PDQ,127,-5.5%,56,-11.1%,Chicken
247,248,Lupe Tortilla,127,12.1%,25,8.7%,Mexican
248,249,Cook-Out Restaurant,126,10.1%,270,7.1%,Burger
249,250,Jollibee,126,15.2%,40,11.1%,Chicken
